"ZoneName","Name","RecordType","Data","TTL","Age","TimeStamp","UpdatedAtSerial","whenCreated","whenChanged","showInAdvancedViewOnly","DistinguishedName"
"solomonedwards.com","LVTP14G2-002426","A","192.168.1.185","1200","3698081","11/16/2022 5:00:00 PM","2017014","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTP14G2-002426,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTP14G2-002428","A","10.32.254.200","1200","3703582","7/3/2023 10:00:00 PM","2025178","6/13/2023 3:09:12 PM","7/3/2023 10:14:59 PM","True","DC=LVTP14G2-002428,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","PHLP-L-EDGENFHL","A","192.168.10.142","1200","3630685","3/10/2015 1:00:00 PM","190514","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=PHLP-L-EDGENFHL,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","PHLSQL06","A","192.168.1.68","1200","3714711","10/9/2024 3:00:00 PM","2042467","10/9/2024 3:44:26 PM","10/9/2024 3:44:41 PM","True","DC=PHLSQL06,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","Laptop-MP2FZCH9","A","192.168.1.90","900","3719750","5/7/2025 2:00:00 PM","2046099","5/6/2025 5:52:10 PM","5/7/2025 2:44:52 PM","True","DC=Laptop-MP2FZCH9,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTP14G2-002502","A","192.168.1.34","1200","3693089","4/22/2022 5:00:00 PM","2011122","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTP14G2-002502,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","PHLSAN01","A","192.168.1.7","3600","0","[static]","80461","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=PHLSAN01,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTB14G4-2573","A","192.168.1.79","900","3719730","5/6/2025 6:00:00 PM","2046088","5/6/2025 6:52:03 PM","5/6/2025 6:52:19 PM","True","DC=LVTB14G4-2573,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","HOUC-L-E520XY1K","A","192.168.12.161","1200","3626634","9/22/2014 6:00:00 PM","142888","6/13/2023 3:09:11 PM","6/13/2023 3:10:11 PM","True","DC=HOUC-L-E520XY1K,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","LVTP14G2-2540","A","192.168.1.202","1200","3700915","3/14/2023 7:00:00 PM","2020708","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=LVTP14G2-2540,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
"solomonedwards.com","PHLSAN02","A","192.168.1.17","3600","0","[static]","80463","6/13/2023 3:09:12 PM","6/13/2023 3:10:11 PM","True","DC=PHLSAN02,DC=solomonedwards.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=solomonedwards,DC=com"
