"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"top","ms-DS-Phonetic-Last-Name","6/22/2011 3:45:58 PM","5/13/2021 2:39:04 PM","CN=ms-DS-Phonetic-Last-Name,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-isGC","6/22/2011 3:45:42 PM","5/13/2021 2:39:03 PM","CN=ms-DS-isGC,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Preferred-GC-Site","1/28/2007 6:50:04 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Preferred-GC-Site,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-IsManaged","11/15/2017 4:32:16 PM","5/13/2021 2:39:05 PM","CN=ms-DS-IsManaged,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Primary-Computer","8/23/2014 2:47:04 AM","5/13/2021 2:39:05 PM","CN=ms-DS-Primary-Computer,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-isRODC","6/22/2011 3:45:43 PM","5/13/2021 2:39:03 PM","CN=ms-DS-isRODC,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Principal-Name","6/22/2011 3:46:54 PM","5/13/2021 2:39:03 PM","CN=ms-DS-Principal-Name,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Issuer-Certificates","11/15/2017 4:32:03 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Issuer-Certificates,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Promotion-Settings","6/22/2011 3:45:44 PM","5/13/2021 2:39:02 PM","CN=ms-DS-Promotion-Settings,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Issuer-Public-Certificates","11/15/2017 4:32:12 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Issuer-Public-Certificates,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-PSO-Applied","6/22/2011 3:47:48 PM","5/13/2021 2:39:03 PM","CN=ms-DS-PSO-Applied,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Key-Approximate-Last-Logon-Time-Stamp","8/27/2019 2:58:56 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Key-Approximate-Last-Logon-Time-Stamp,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-PSO-Applies-To","6/22/2011 3:47:47 PM","5/13/2021 2:39:02 PM","CN=ms-DS-PSO-Applies-To,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Key-Credential","8/27/2019 2:58:56 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Key-Credential,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Quota-Amount","1/28/2007 6:54:15 AM","5/13/2021 2:39:03 PM","CN=ms-DS-Quota-Amount,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
"top","ms-DS-Key-Credential-Link","8/27/2019 2:59:01 PM","5/13/2021 2:39:05 PM","CN=ms-DS-Key-Credential-Link,CN=Schema,CN=Configuration,DC=solomonedwards,DC=com"
